ID_Alocacao,ID_Colaborador,ID_Contrato,Tipo_Alocacao,Data_Inicio_Alocacao,Supervisor_Direto
90,87,41,Tempo Integral,6/19/2023,Lauren Menel
91,75,69,Reserva.,3/27/2021,Roanna Stitwell
92,30,82,Meio Período,12/24/2024,Caspar Muffen
93,50,90,Reserva.,3/29/2024,Cele Deuss
94,51,54,Reserva.,8/10/2022,Rebecka Jacqueminot
95,34,22,Tempo Integral,1/16/2021,Glynnis Aiskovitch
96,4,45,Reserva.,1/31/2021,Monty McInteer
97,97,97,Tempo Integral,8/31/2021,Carin Zotto
98,6,60,Meio Período,5/7/2023,Town Torfin
99,33,49,Tempo Integral,6/9/2024,Erin Desport
100,78,74,Reserva.,6/24/2024,Land Cicchitello
101,46,82,Tempo Integral,11/5/2021,Liana Canas
102,44,1,Tempo Integral,3/16/2021,Silvana Wilkenson
103,51,49,Reserva.,11/20/2022,Bartel Glawsop
104,9,53,Meio Período,1/10/2023,Quincey Timmis
105,1,7,Meio Período,8/6/2022,Merla Cheeney
106,66,1,Meio Período,1/11/2022,Odey Barnard
107,78,15,Tempo Integral,12/22/2022,Irvine Hauxwell
108,54,42,Tempo Integral,3/1/2025,Stavros Kimbling
109,80,18,Reserva.,8/6/2024,Trix Deschlein
110,62,52,Tempo Integral,1/22/2022,Jorey Say
111,41,95,Tempo Integral,7/7/2021,Johann Vannozzii
112,46,50,Meio Período,10/31/2024,Storm Alfonsetti
113,12,73,Meio Período,5/7/2025,Riccardo Ledner
114,94,49,Meio Período,10/10/2025,Andee Niccols
115,97,51,Meio Período,3/26/2022,Nolly Golthorpp
116,46,5,Tempo Integral,12/14/2020,Gerrie Verdy
117,68,7,Reserva.,10/14/2024,Valerie Conre
118,62,79,Reserva.,1/7/2025,Philippine Aldritt
119,33,76,Meio Período,4/16/2021,Rivy Bidmead
120,4,52,Tempo Integral,10/2/2022,Joann Gilluley
121,92,96,Meio Período,4/21/2022,Anastassia Pavlovic
122,68,23,Reserva.,6/24/2025,Essa Arnley
123,32,65,Reserva.,7/19/2025,Terrel Heinschke
124,64,13,Meio Período,10/19/2025,Lazarus McEneny
125,44,28,Reserva.,10/22/2024,Demetrius Eilhersen
126,85,16,Meio Período,5/13/2025,Jemima Rottger
127,21,100,Reserva.,7/21/2023,Addie Aleavy
128,45,30,Meio Período,7/30/2024,Saraann Kirkbride
129,36,8,Meio Período,6/14/2022,Cointon Stacy
130,60,76,Reserva.,10/26/2022,Vivianne Bartelet
131,28,51,Reserva.,3/1/2025,Kerri Ventum
132,87,27,Tempo Integral,4/24/2023,Roz Banbrook
133,61,28,Tempo Integral,8/29/2024,Brynna Cyphus
134,4,36,Tempo Integral,8/31/2023,Letty Donnachie
135,100,30,Tempo Integral,9/3/2024,Armando Snoxill
136,59,77,Meio Período,9/9/2021,Dacy Maffei
137,59,56,Reserva.,5/25/2021,Jefferson Muino
138,61,98,Tempo Integral,12/5/2020,Carolee Pratchett
139,63,64,Meio Período,7/29/2023,Shea Luter
140,95,27,Meio Período,9/16/2021,Jsandye Skpsey
141,45,48,Tempo Integral,7/17/2021,Pearl McArthur
142,39,98,Reserva.,3/25/2021,Cherey Gomersal
143,68,75,Reserva.,4/8/2021,Louie Klimas
144,56,99,Meio Período,8/28/2021,Margret O'Dennehy
145,71,28,Reserva.,8/29/2025,Marlene Lokier
146,87,69,Tempo Integral,7/23/2025,Yves Duetsche
147,76,33,Tempo Integral,9/11/2021,Jimmie Gerardet
148,19,31,Reserva.,12/20/2023,Cort Beardall
149,14,87,Meio Período,1/4/2024,Lisle Whopples
150,80,39,Reserva.,10/20/2024,Darby Ellerman
151,10,23,Meio Período,3/15/2021,Armand Williams
152,38,8,Meio Período,7/12/2024,Nikki Merrgan
153,100,60,Reserva.,6/19/2023,Wallis Bettleson
154,84,6,Meio Período,2/22/2022,Jocelin Conley
155,33,50,Meio Período,12/18/2023,Chicky Pitkins
156,77,81,Reserva.,12/3/2020,Wendell Cantrell
157,15,56,Reserva.,8/16/2025,Shir Issacoff
158,19,4,Reserva.,1/5/2025,Bogey Kennan
159,51,75,Meio Período,1/31/2022,Sophi Gabrieli
160,49,67,Reserva.,1/25/2025,Myron Burndred
161,73,46,Meio Período,10/28/2025,Noelani Lamey
162,86,90,Tempo Integral,3/14/2025,Davita Earp
163,78,87,Meio Período,3/3/2023,Andromache Munton
164,81,87,Meio Período,2/6/2025,Wit Halvosen
165,46,7,Reserva.,9/21/2023,Cornelia Epinay
166,83,43,Meio Período,12/8/2022,Nissie Buer
167,18,42,Reserva.,12/5/2024,Elsi Officer
168,19,86,Meio Período,1/5/2025,Homerus Roly
169,31,76,Reserva.,8/31/2021,Gerik Venmore
170,85,7,Reserva.,2/9/2021,Daniele Hinkens
171,38,26,Tempo Integral,2/28/2025,Tracie Hewes
172,64,38,Reserva.,8/22/2022,Kym Rossiter
173,86,32,Tempo Integral,11/8/2024,Mel Rapp
174,76,32,Reserva.,7/5/2022,Clarette Doumerque
175,91,49,Tempo Integral,4/14/2021,Chilton Ixer
176,76,79,Reserva.,5/27/2024,Hubert Merill
177,76,71,Meio Período,10/22/2025,Timmy Cromblehome
178,72,4,Tempo Integral,2/17/2022,Price Terzza
179,90,35,Reserva.,7/20/2023,Berton Valentim
180,1,60,Tempo Integral,12/2/2021,Nola Peskett
181,22,28,Reserva.,5/4/2025,Indira Oran
182,88,9,Tempo Integral,9/28/2025,Maggee Rosevear
183,89,82,Tempo Integral,9/30/2024,Chick Bruster
184,85,7,Meio Período,2/12/2024,Elbertina Lengthorn
185,10,99,Tempo Integral,6/6/2024,Cati Saw
186,33,19,Tempo Integral,4/8/2025,Idalia Boulding
187,15,30,Reserva.,7/3/2023,Bruis Lage
188,68,83,Reserva.,1/30/2023,Jeromy Symmers
189,100,40,Tempo Integral,8/7/2023,Olivie Clulow
190,27,8,Reserva.,1/6/2023,Dyane Dauby
191,70,75,Meio Período,1/9/2025,Carlin Covolini
192,32,47,Meio Período,11/17/2021,Ky Farreil
193,80,4,Tempo Integral,1/5/2024,Audrye Ricardo
194,30,13,Tempo Integral,2/17/2021,Nola Bayliss
195,51,99,Reserva.,9/26/2023,Cort Rabson
196,70,1,Tempo Integral,6/1/2021,Virgil Dalrymple
197,6,96,Reserva.,3/30/2025,Cross Ferronel
198,75,30,Reserva.,1/18/2024,Biddie Kingswood
199,83,73,Reserva.,12/17/2024,Ladonna Nisby
200,62,38,Meio Período,10/18/2021,Patrick Cannavan
201,97,74,Meio Período,8/17/2022,Joline Boustred
202,50,71,Tempo Integral,9/28/2024,Jessy Jodlkowski
203,1,51,Reserva.,2/11/2023,Zacharie Jessel
204,57,81,Reserva.,7/20/2023,Pincus Coatts
205,43,82,Reserva.,8/29/2024,Skylar Bachmann
206,86,27,Tempo Integral,11/3/2023,Giordano Iveagh
207,85,86,Tempo Integral,5/25/2024,Belle Pinson
208,35,65,Reserva.,2/21/2022,Brandice Tomovic
209,26,22,Meio Período,5/21/2024,Devinne Bryns
210,78,42,Tempo Integral,3/26/2022,Husain Garrie
211,42,11,Reserva.,10/18/2024,Gilbertine Luckin
212,29,25,Reserva.,11/20/2023,Farleigh Jacobsz
213,50,99,Meio Período,2/26/2024,Viva Hogsden
214,94,45,Meio Período,5/16/2025,Delia Lynthal
215,86,89,Tempo Integral,1/11/2023,Tamqrah O'Toole
216,68,44,Reserva.,11/12/2024,Torr Franchi
217,85,82,Reserva.,9/16/2022,Clerissa Valentinuzzi
218,21,81,Reserva.,1/25/2023,Junie Wraggs
219,84,43,Tempo Integral,6/19/2022,Cherianne MacKnocker
220,92,6,Reserva.,8/14/2024,Nicolai Alves
221,60,38,Meio Período,1/5/2023,Rice O'Ferris
222,68,67,Reserva.,1/9/2023,Hardy Zellmer
223,85,85,Reserva.,9/20/2023,Dorey Filipponi
224,25,88,Meio Período,10/19/2025,Meredith Ockland
225,90,95,Reserva.,12/29/2022,Gerrie Delyth
226,86,55,Reserva.,3/12/2021,Lorette Lantry
227,55,53,Tempo Integral,12/11/2024,Gerrilee Haywood
228,59,32,Meio Período,8/10/2024,Farrel Mannering
229,8,65,Meio Período,4/16/2023,Amity Rehn
230,76,85,Tempo Integral,6/27/2023,Ekaterina Fairlamb
231,35,54,Meio Período,7/23/2024,Alyss Ivankin
232,64,5,Meio Período,5/12/2022,Vin Marquis
233,79,17,Meio Período,5/29/2024,Marlo Barwise
234,93,83,Meio Período,8/28/2021,Lyman Winley
235,5,48,Meio Período,11/22/2022,Jacinta Halsworth
236,73,7,Tempo Integral,4/21/2021,Lorilyn Jennrich
237,64,72,Meio Período,1/30/2022,Jena Yeandel
238,72,25,Reserva.,7/7/2021,Orelle Rankmore
239,86,19,Meio Período,1/27/2023,Staffard Zmitrovich
240,31,50,Tempo Integral,7/24/2022,Hortensia Oldman
241,35,47,Tempo Integral,1/16/2022,Suellen Waitland
242,41,45,Meio Período,11/24/2021,Abigael Harbinson
243,82,20,Reserva.,1/8/2021,Rubetta Burtonshaw
244,66,26,Meio Período,9/4/2023,Marna Meiklam
245,25,98,Tempo Integral,4/6/2023,Tanitansy Yakebowitch
246,51,46,Reserva.,5/29/2021,Magdalen Doxsey
247,70,45,Tempo Integral,12/2/2023,June Poon
248,95,73,Tempo Integral,6/12/2024,Tedmund Traut
249,18,67,Reserva.,5/20/2021,Gregory Hadfield
250,36,23,Tempo Integral,8/12/2023,Amalia Malam
251,28,98,Reserva.,5/24/2025,Thalia Draycott
252,91,87,Reserva.,7/17/2023,Frannie Fanshaw
253,62,7,Meio Período,9/2/2022,Imogene Founds
254,20,26,Reserva.,7/12/2025,Sada Shills
255,28,82,Reserva.,5/27/2024,Doralin Braga
256,92,15,Reserva.,1/2/2024,Ulick Dickie
257,16,80,Reserva.,11/9/2022,Adina Vlies
258,81,60,Tempo Integral,12/7/2023,Alfons Peert
259,6,19,Meio Período,5/16/2021,Mill Smorfit
260,75,13,Tempo Integral,2/20/2023,Zsazsa Chrippes
261,78,25,Tempo Integral,6/20/2024,Filide Selvester
262,79,11,Tempo Integral,9/19/2024,Matelda Galletly
263,18,30,Tempo Integral,7/23/2023,Bogey Layus
264,21,97,Meio Período,5/1/2021,Rosetta Vasilchikov
265,12,3,Reserva.,11/7/2020,Dreddy Laughren
266,21,8,Meio Período,3/31/2022,Matelda Padkin
267,48,24,Tempo Integral,5/5/2021,Bartolemo Oppie
268,96,6,Reserva.,8/24/2022,Delmer McCrorie
269,16,77,Reserva.,1/16/2022,Cyrill Tottman
270,36,31,Tempo Integral,4/28/2023,Robinette Maskell
271,32,31,Reserva.,4/2/2022,Jule Astley
272,40,44,Tempo Integral,1/5/2022,Evangelin Duinkerk
273,68,91,Meio Período,12/31/2021,Dur Widd
274,5,78,Tempo Integral,4/7/2022,Leonidas Lesor
275,15,98,Meio Período,7/31/2023,Marnia Coucha
276,23,51,Meio Período,7/3/2024,Lockwood Buckwell
277,98,64,Reserva.,11/21/2024,Leland Salamon
278,76,15,Tempo Integral,2/2/2025,Tynan McCrum
279,63,56,Meio Período,3/24/2023,Regan Fried
280,23,25,Reserva.,7/29/2023,Lita Geck
281,37,47,Tempo Integral,5/30/2025,Dorey Dulwich
282,100,45,Reserva.,5/4/2023,Averell Winfindine
283,24,29,Reserva.,5/5/2025,Aundrea Hairyes
284,27,39,Reserva.,11/1/2023,Terri Foker
285,8,17,Tempo Integral,4/25/2025,Wright Skeene
286,85,47,Reserva.,4/17/2022,Baird Mindenhall
287,48,100,Tempo Integral,2/23/2025,Jerry Strathe
288,28,96,Meio Período,8/31/2021,Amandie Keets
289,51,31,Meio Período,4/19/2024,Harriott Romero
290,66,24,Meio Período,6/10/2022,Kiel Axtell
291,95,43,Tempo Integral,9/11/2022,Joellyn Jermyn
292,38,32,Reserva.,6/23/2021,Clarey Thomton
293,63,17,Reserva.,2/8/2023,Maisie Adhams
294,60,79,Reserva.,6/14/2024,Berk Rackstraw
295,59,21,Reserva.,12/19/2021,Mikael Teasdale-Markie
296,16,36,Meio Período,12/9/2020,Kate Walesa
297,51,98,Tempo Integral,5/14/2023,Camila Cattell
298,72,88,Reserva.,10/10/2021,Rossy Balassi
299,20,86,Meio Período,5/18/2023,Patric Twitching
300,67,60,Meio Período,12/10/2020,Ethelind Rivaland
301,50,10,Tempo Integral,1/21/2023,Ola Barhams
302,73,63,Meio Período,1/1/2023,Orion Groger
303,12,67,Reserva.,3/29/2021,Binnie Chelnam
304,15,86,Reserva.,4/8/2025,Dorice Gepp
305,18,40,Meio Período,8/28/2022,Idell Burden
306,77,19,Tempo Integral,8/12/2024,Madge Hansberry
307,53,45,Meio Período,1/6/2024,Regen Tracey
308,4,90,Reserva.,9/17/2022,Skippy Mathy
309,50,25,Meio Período,12/20/2020,Adams Calltone
310,91,7,Reserva.,10/27/2023,Arly Cranch
311,94,35,Reserva.,6/11/2025,Jaime Hand
312,28,99,Tempo Integral,6/9/2022,Alejoa Lowdeane
313,22,41,Meio Período,3/20/2025,Blondelle Doumic
314,15,94,Meio Período,12/23/2022,Vivia Sartin
315,78,23,Tempo Integral,12/15/2023,Eda MacTavish
316,50,63,Meio Período,1/19/2025,Cindy Harman
317,42,94,Reserva.,7/17/2025,Cari Romke
318,80,63,Meio Período,8/23/2022,Stefan Sapauton
319,20,69,Meio Período,3/12/2024,Alejandro Minchin
320,46,83,Reserva.,12/4/2021,Lisbeth McCrae
321,31,25,Tempo Integral,3/17/2024,Edith Gilleson
322,18,19,Tempo Integral,7/21/2023,Jodie Olivia
323,37,84,Reserva.,5/25/2022,Sonja Glozman
324,41,72,Meio Período,12/22/2023,Barron January
325,38,53,Meio Período,10/11/2025,Bette McQuillan
326,63,96,Meio Período,12/3/2022,Coral Lashmar
327,73,53,Meio Período,4/17/2022,Muire Rowbottam
328,91,61,Meio Período,9/17/2023,Todd Lodo
329,85,66,Meio Período,9/8/2022,Fremont Curreen
330,64,48,Meio Período,9/22/2021,Berthe Hefford
331,4,41,Meio Período,4/19/2021,Alexa Brolechan
332,5,61,Meio Período,4/4/2023,Deena Giovani
333,77,89,Meio Período,5/3/2021,Gwynne Pether
334,3,43,Reserva.,8/30/2022,Blake Berrill
335,68,6,Meio Período,3/30/2024,Jorrie Manuello
336,4,81,Tempo Integral,6/16/2021,Marja Cousans
337,64,52,Reserva.,10/13/2023,Olag Strudwick
338,27,71,Tempo Integral,6/12/2025,Dylan Andrioni
339,37,53,Meio Período,9/23/2021,Caria Sighard
340,99,15,Reserva.,6/15/2021,Angelle Emanuel
341,25,63,Tempo Integral,8/11/2021,Em Storrah
342,96,12,Tempo Integral,3/30/2024,Ibbie Vedyasov
343,22,4,Meio Período,1/9/2021,Cletus Havock
344,15,8,Reserva.,9/15/2024,Cathi Glasson
345,82,16,Tempo Integral,8/28/2025,Bobine Darker
346,15,92,Reserva.,5/29/2021,Flinn Nannetti
347,32,70,Tempo Integral,4/23/2023,Lenore Verson
348,92,99,Reserva.,12/28/2024,Andria Abbison
349,56,54,Tempo Integral,3/27/2021,Galen Leathe
350,15,10,Tempo Integral,1/25/2025,Saunder Carpmile
351,71,35,Reserva.,3/12/2023,Devon Canaan
352,93,39,Reserva.,2/19/2024,Fredric Domel
353,94,53,Meio Período,11/26/2021,Gasparo Depka
354,40,56,Meio Período,4/21/2022,Teresa Omar
355,3,91,Tempo Integral,6/26/2024,Marley Ryce
356,56,91,Meio Período,4/13/2024,Rowe Klemencic
357,11,90,Tempo Integral,6/20/2021,Skelly Mather
358,36,53,Tempo Integral,5/22/2024,Lydie Crosher
359,39,60,Meio Período,7/23/2025,Wilma Guyan
360,35,81,Reserva.,11/26/2020,Glennis Getch
361,96,30,Meio Período,5/27/2024,Jacqueline Bore
362,66,73,Meio Período,4/21/2023,Evan Bulfoot
363,17,26,Meio Período,10/12/2022,Mauricio Slark
364,30,19,Reserva.,1/21/2024,Gayle Dowdam
365,35,72,Reserva.,12/12/2023,Royall Jakab
366,22,77,Tempo Integral,10/22/2023,Abel Clemanceau
367,84,54,Meio Período,12/28/2022,Hirsch Grinikhinov
368,45,42,Reserva.,6/12/2024,Molli Maffucci
369,6,9,Reserva.,10/20/2025,Gaston O Mullen
370,87,100,Tempo Integral,7/13/2021,Glennis Jandak
371,55,34,Tempo Integral,7/2/2021,Delinda Menguy
372,89,57,Meio Período,11/15/2023,Barron McGuigan
373,24,12,Reserva.,1/17/2024,Barri Kryzhov
374,66,23,Tempo Integral,7/10/2021,Jeanne Denis
375,2,13,Tempo Integral,9/17/2025,Trever Schouthede
376,97,17,Tempo Integral,3/7/2023,Kit Bezant
377,86,67,Tempo Integral,7/29/2025,Ellissa Grogor
378,82,91,Reserva.,2/24/2022,Deidre Linskill
379,66,91,Reserva.,12/7/2020,Hobard Huett
380,64,91,Meio Período,12/4/2024,Benjamin Leed
381,45,10,Meio Período,4/25/2023,Nevins Robinson
382,54,58,Reserva.,3/26/2021,Reta Goodred
383,25,58,Reserva.,12/12/2022,Farrel Rockcliff
384,47,63,Tempo Integral,8/31/2024,Abigail Nickels
385,46,96,Tempo Integral,9/2/2022,Elden Percival
386,16,17,Tempo Integral,6/9/2021,Keith Greenly
387,53,9,Tempo Integral,3/28/2024,Alejandro Liversedge
388,73,22,Reserva.,11/1/2024,Violet Dimmock
389,25,53,Meio Período,10/12/2024,Fawne Chambers
390,84,39,Tempo Integral,6/12/2021,Holmes Davydkov
391,27,3,Meio Período,2/9/2024,Ruby Geldart
392,43,14,Meio Período,7/14/2024,Delila Jindra
393,44,62,Tempo Integral,6/15/2021,Deonne Kedie
394,74,67,Reserva.,7/24/2022,Fayth Tutt
395,33,66,Tempo Integral,7/9/2023,Opaline Engall
396,50,97,Meio Período,1/26/2022,Giorgia Hannon
397,12,73,Tempo Integral,8/18/2022,Minerva Austing
398,98,55,Tempo Integral,12/22/2022,Arline Devlin
399,7,25,Tempo Integral,3/23/2024,Austen Fawke
400,39,13,Meio Período,6/6/2025,Briny Lucey
401,62,31,Tempo Integral,6/11/2025,Alleen Gunthorpe
402,13,75,Tempo Integral,4/2/2022,Adams Simoneton
403,3,3,Meio Período,8/8/2024,Gertrudis Klulisek
404,31,83,Meio Período,6/29/2025,Dave Jerisch
405,61,100,Meio Período,12/23/2021,Othilia Benyon
406,51,9,Meio Período,6/6/2024,Estele Kettley
407,30,64,Reserva.,11/29/2021,Niel Haggett
408,20,43,Meio Período,10/19/2022,Alysia Munroe
409,14,64,Reserva.,6/25/2022,Pierre Wakley
410,33,14,Reserva.,9/6/2021,Jordon Kubal
411,24,77,Tempo Integral,6/11/2023,Colas Dakers
412,89,45,Meio Período,6/24/2025,Erminia Cano
413,80,79,Meio Período,1/6/2024,Hercule Durrand
414,90,81,Meio Período,6/22/2024,Vivianne Fishlock
415,49,22,Meio Período,3/15/2022,Elna Merfin
416,100,80,Meio Período,11/16/2021,Shandee Staden
417,15,76,Meio Período,11/29/2023,Claybourne Matchell
418,60,24,Reserva.,5/28/2022,Kelli Bollen
419,1,94,Tempo Integral,4/3/2024,Nevil Desbrow
420,42,37,Reserva.,8/27/2021,Tatiania Augustus
421,36,87,Tempo Integral,9/19/2021,Garold Juschke
422,10,4,Tempo Integral,2/15/2025,Giuseppe Kenen
423,36,93,Reserva.,11/3/2023,Casey Antonowicz
424,41,89,Reserva.,8/23/2022,Merell Deards
425,86,85,Meio Período,10/29/2023,Dwain Paffett
426,95,98,Reserva.,12/16/2024,Alistair Ballentime
427,41,34,Meio Período,10/9/2025,Abbot Vaggs
428,43,18,Reserva.,5/12/2025,Stephen Hastelow
429,21,87,Tempo Integral,2/3/2024,Ethelin Elden
430,36,55,Meio Período,10/8/2022,Ileane Shephard
431,33,5,Tempo Integral,11/28/2024,Jules Arsmith
432,89,78,Reserva.,3/17/2021,Federica Chisman
433,42,22,Reserva.,11/8/2023,Steve Speechley
434,99,14,Reserva.,12/30/2024,Kriste Bebbington
435,51,88,Meio Período,2/18/2021,Willi Bartalin
436,58,9,Tempo Integral,8/20/2024,Whitby Calway
437,58,45,Meio Período,5/13/2022,Peterus McEvon
438,63,16,Meio Período,9/5/2023,Beaufort Bonwick
439,37,35,Meio Período,10/10/2024,Bartlet Bernath
440,8,66,Meio Período,1/3/2024,Hubie Quail
441,69,2,Reserva.,5/6/2025,Krisha Bartali
442,17,76,Meio Período,3/31/2021,Gun Thompson
443,95,38,Reserva.,5/27/2024,Vanda Fallen
444,6,70,Meio Período,1/14/2025,Allin Taggett
445,79,74,Reserva.,12/27/2023,Thebault Feares
446,57,79,Tempo Integral,5/22/2025,Grant Heyfield
447,12,87,Meio Período,8/14/2025,Prudence Luipold
448,76,64,Meio Período,4/13/2022,Wallis Bester
449,27,42,Tempo Integral,2/28/2024,Marwin Greenly
450,95,18,Meio Período,10/29/2022,Lanae Taye
451,56,59,Meio Período,12/9/2021,Tobie Hugo
452,23,13,Meio Período,4/22/2024,Ron Stanlock
453,78,82,Meio Período,9/19/2022,Karoly Coweuppe
454,63,36,Meio Período,12/11/2024,Madeline Wallach
455,16,42,Tempo Integral,4/7/2025,Mateo Schust
456,40,9,Meio Período,9/14/2023,Nonna Davidowsky
457,89,37,Tempo Integral,8/8/2023,Willdon Preble
458,33,100,Meio Período,5/28/2025,Aylmar Reinger
459,8,43,Meio Período,12/5/2021,Rochell McVitie
460,29,82,Meio Período,10/25/2023,Dalis Delafont
461,77,48,Tempo Integral,12/19/2020,Timotheus Feeham
462,45,2,Meio Período,12/15/2023,Kissiah Woolpert
463,74,97,Tempo Integral,6/4/2022,Georgie Milsom
464,16,2,Reserva.,1/10/2024,Catherina Pagen
465,22,2,Meio Período,5/9/2022,Keely Johananov
466,1,84,Tempo Integral,11/15/2021,Katherine Patshull
467,59,90,Reserva.,7/4/2022,Georgine Cornils
468,18,97,Meio Período,7/1/2025,Kaspar Gertray
469,98,45,Reserva.,1/21/2021,Gwen Doey
470,48,4,Reserva.,4/9/2025,Beatrix MacDunlevy
471,87,40,Meio Período,5/1/2021,Marve Ventom
472,13,45,Meio Período,5/23/2023,Fae Jirousek
473,21,20,Meio Período,9/10/2024,Gallard Arnison
474,9,81,Reserva.,3/17/2022,Aundrea Enderwick
475,63,22,Tempo Integral,4/21/2023,Evin Ferrario
476,6,45,Tempo Integral,3/10/2025,Norton Quinet
477,58,20,Reserva.,4/14/2022,Bibby Itzik
478,48,94,Reserva.,5/31/2025,Niels Stoeckle
479,29,8,Reserva.,9/26/2025,Drud Dearnly
480,65,42,Reserva.,7/1/2024,Pamella Dolle
481,37,69,Reserva.,7/29/2022,Averyl Welling
